Pathway,nGenesMapped,nGenesUsed,nSamples,ObservedP,empiricalP,Genes
"413400_hsa_M00130_Inositol_phosphate_metabolism,_PI=>_PIP2_=>_Ins(1,4,5)P3_=>_Ins(1,3,4,5)P4",22,20,1000,5.96295095208795e-06,0.043956043956044,PI4KB_ITPKB_PLCD4_PLCD1_PI4K2B_PIP5K1B_PIP5KL1_PLCE1_PI4K2A_PLCB3_PLCZ1_PLCB2_ITPKA_PLCG2_PLCD3_PIP5K1C_ITPKC_PLCB4_PLCG1_PI4KA
487957_GO:0002067_glandular_epithelial_cell_differentiation,39,39,1000,5.50940317870576e-08,0.043956043956044,WNT4_WDR77_VHLL_PROX1_NEUROD1_RARB_WNT5A_TP63_NKX6-1_IL31RA_BMP6_SPDEF_BMP5_RFX6_DLL1_AGR2_HOXA5_CDK6_SMO_NKX6-3_RFX3_RXRA_NOTCH1_FGF8_FGFR2_PAX6_MEN1_SIDT2_RARG_ASCL1_PDX1_FOXA1_BMP4_PDPK1_RARA_GATA6_BMP2_INSM1_NKX2-2
488563_GO:0002690_positive_regulation_of_leukocyte_chemotaxis,81,65,1000,2.59561922882709e-10,0.043956043956044,EDN2_CSF1_S100A14_IL6R_XCL1_TNFSF18_ADAM17_IL1B_CXCR2_CCR2_WNT5A_IL12A_CXCL2_CXCL11_CXCL13_EDNRA_VEGFC_F2RL1_THBS4_IL4_CXCL14_CD74_EDN1_AIF1_GPSM3_VEGFA_PLA2G7_CCR6_RAC1_IL6_SERPINE1_RARRES2_PTK2B_CCL21_CREB3_CAMK1D_CXCL12_SWAP70_VEGFB_TIRAP_ANO6_NCKAP1L_IL23A_CMKLR1_TRPV4_HMGB1_F7_GAS6_THBS1_ADAM10_DAPK2_CX3CL1_C1QBP_TMEM102_LGALS9_CCL7_CCL4_CCR7_TNFSF14_CALR_C5AR1_ZNF580_LBP_EDN3_RAC2
492840_GO:0016887_ATPase_activity,411,329,1000,1.3315247466679e-30,0.043956043956044,CHD5_KIF1B_ATP13A2_KIF17_RBBP4_MACF1_ATP6V0B_KIF2C_ABCD3_DDX20_ATP1A1_TTF2_CHD1L_ATP8B2_ATP1A4_HSPA6_ATP1B1_TOR3A_DHX9_ATP6V1G3_TNNT2_ATP2B4_ABCB10_KIF26B_ATP6V1C2_DDX1_ATAD2B_KIF3C_SPAST_DHX57_ABCG8_ATP6V1E2_MSH6_PCYOX1_DQX1_DNAH6_SNRNP200_LONRF2_DDX18_ERCC3_MCM6_KIF5C_FIGN_ABCB11_OLA1_PMS1_MYO1B_DNAH7_HSPD1_ABCA12_SMARCAL1_ABCB6_KIF1A_CRBN_RAD18_ATP2B2_TOP2B_MLH1_KIF15_KIF9_DHX30_RAD54L2_DNAH1_DNAH12_PSMD6_ATP6V1A_POLQ_RUVBL1_ATP2C1_ATP1B3_HLTF_DHX36_ATP11B_ABCF3_RFC4_ATP13A4_ATP13A3_ATP5I_DHX15_RFC1_ATP8A1_ATP10D_ABCG2_CENPE_ANXA5_SMARCA5_ABCE1_DNAH5_MYO10_DDX4_ERCC8_KIF2A_GTF2H2C_GTF2H2_ATP6AP1L_CCNH_RHOBTB3_CHD1_YTHDC2_KIF3A_DDX46_KIF20A_G3BP1_KIF4B_ATP10B_ATP6V0E1_DDX41_KIF13A_GTF2H4_SKIV2L_KIFC1_KIF6_ABCC10_DDX43_MDN1_ASCC3_KATNA1_KIF25_PMS2_ABCB5_DNAH11_DDX56_ABCA13_FIGNL1_RFC2_PMS2P3_ABCB1_PEX1_ATP5J2_PMS2P1_PSMC2_CFTR_ATP6V1F_ATP6V0A4_ATP6V0E2_ABCF2_XRCC2_LONRF1_ATP6V1B2_CLU_KIF13B_WRN_MCM4_ATP6V1H_NBN_RAD54B_ATP6V1C1_DSCC1_ATAD2_TOP1MT_RECQL4_SMARCA2_KIF24_VCP_ANXA1_KIF27_ERCC6L2_ABCA1_ATP6V1G1_HSPA5_PPP2R4_TOR1A_DDX31_ENTPD2_FBXO18_ATP5C1_MYO3A_YME1L1_KIF5B_ERCC6_SUPV3L1_ATAD1_KIF20B_KIF11_ABCC2_DHX32_TNNT3_ABCC8_GTF2H1_KIF18A_PSMC3_CARNS1_TCIRG1_IGHMBP2_CLPB_RSF1_MRE11A_DYNC2H1_DDX10_FXYD2_ABCG4_HSPA8_DDX25_CHD4_DDX47_ATF7IP_ABCC9_DDX11_ABCD2_DDX23_FIGNL2_ATP5B_KIF5A_HELB_ATP2B1_ATP2A2_DDX54_RFC5_ABCB9_DNAH10_DHX37_DDX51_ATP12A_ATP8A2_ATP5EP2_KATNAL1_RFC3_VWA8_ATP7B_ABCC4_ATP11A_ATP4B_CHD8_MYH7_PSMC6_MNAT1_RAD51B_ABCD4_MLH3_PSMC1_DDX24_HSP90AA1_KIF26A_ATP10A_ACTC1_INO80_STARD9_ATP8B4_MYO1E_CLPX_KIF23_KIF7_BLM_CHD2_CHTF18_ATP6V0C_ABCC6_ATP2A1_KIF22_LONP2_KIFC3_ATP6V0D1_DDX28_VPS4A_DDX19A_DHX38_ATP2C2_SPG7_MYO1C_ATP2A3_DHX33_CHD3_MYH10_MYH3_DNAH9_MYO18A_MYO1D_RAD51D_MYO19_DDX52_TOP2A_ATP6V0A1_DHX8_KIF18B_NSF_ABCC3_KIF2B_RAD51C_DHX40_BRIP1_PSMC5_DDX5_BPTF_ABCA5_KIF19_ATP5H_RECQL5_DNAH17_RNF213_RALBP1_AFG3L2_ATP5A1_KATNAL2_ATP8B1_VPS4B_ATP9B_LONP1_SWSAP1_ASNA1_DDX39A_MYO9B_DDX49_ATP13A1_TDRD12_ATP4A_PSMC4_ATP1A3_ERCC2_DHX34_RUVBL2_MYH14_KIF16B_KIF3B_DHX35_CHD6_DDX27_ATP9A_ATP5E_RTEL1_ABCC13_ATP5J_CCT8_ATP5O_ABCG1_ATP6V1E1_MYH9_DDX17_XRCC6_MOV10L1
495289_GO:0014897_striated_muscle_hypertrophy,27,27,1000,7.58417093854096e-07,0.043956043956044,NPPA_KDM4A_MYOC_AGT_RYR2_BMP10_TTN_HTR2B_HDAC4_KLF15_PDLIM5_PPP3CA_CAMK2D_SORBS2_MEF2C_HDAC2_HEY2_LEP_GATA4_CSRP3_NFATC3_CAMTA2_MAP2K4_MYOCD_TCAP_GATA6_TIAM1
506273_GO:0043205_fibril,11,11,1000,6.61071110673013e-05,0.043956043956044,MFAP2_LTBP1_ODAM_SNCA_SLC1A3_FBN2_MFAP1_FBN1_THSD4_MFAP4_ADAMTS10
507947_GO:0045599_negative_regulation_of_fat_cell_differentiation,45,43,1000,6.39237298423379e-08,0.043956043956044,SORT1_WNT3A_TRIB2_WNT5A_GATA2_WWTR1_ADIPOQ_BBS12_MSX2_ID4_TNF_ENPP1_SOD2_GPER1_IL6_INSIG1_RUNX1T1_ZFPM2_GATA3_SIRT1_TCF7L2_ARNTL_NUCB2_CCDC85B_C1QL4_DDIT3_TRPV4_NCOR2_FOXO1_JDP2_RORA_SMAD3_AXIN1_FAM57B_TGFB1I1_ZFPM1_SIRT2_TGFB1_TRIB3_JAG1_ASXL1_E2F1_MMP11
511822_GO:0050884_neuromuscular_process_controlling_posture,14,14,1000,3.17766781395399e-05,0.043956043956044,SCN1A_PNKD_GLRA1_GBX1_CLN8_SLURP1_FXN_ATP8A2_POU4F1_GCH1_PRRT2_CNTNAP1_GAA_TCF15
514949_GO:0070008_serine-type_exopeptidase_activity,18,18,1000,1.0477321448687e-05,0.043956043956044,PREPL_CPZ_CPE_F11_PRSS16_PREP_CPVL_AEBP1_DPP7_CPN1_CPXM2_PRCP_CPM_CPD_SCPEP1_HPN_CPXM1_CTSA
518956_GO:2000310_regulation_of_N-methyl-D-aspartate_selective_glutamate_receptor_activity,15,15,1000,4.67077504811267e-05,0.043956043956044,NRXN1_NLGN1_PPARGC1A_CRHBP_RASGRF2_MEF2C_OPRM1_RELN_PTK2B_CRH_DAPK1_CNIH2_RASGRF1_DLG4_MAPK8IP2
698754_WP2324_AGE/RAGE_pathway,64,60,1000,1.4144040841677e-09,0.043956043956044,PRKCZ_CASP9_DDOST_CDC42_JUN_SHC1_PLA2G4A_INHBB_ATF2_STAT1_CASP8_IRS1_RAF1_MYD88_RHOA_PRKCD_NFKB1_CASP3_DIAPH1_MAPK9_AGER_MAPK14_EZR_RAC1_CYCS_EGFR_NCF1_NOS3_MSR1_IKBKB_JAK2_MAPK8_CHUK_INS_RELA_MMP13_TIRAP_IRAK4_SP1_FOXO1_MMP14_NFKBIA_LGALS3_HIF1A_AKT1_MAP2K1_SMAD3_PRKCB_MAPK3_MMP2_NOS2_STAT3_PRKCA_ROCK1_SMAD2_INSR_SRC_MMP9_SOD1_MAPK1
750928_GO:0036003_positive_regulation_of_transcription_from_RNA_polymerase_II_promoter_in_response_to_stress,21,21,1000,3.58283616774053e-06,0.043956043956044,MUC1_ATF6_ATF3_NFE2L2_RBPJ_ATF6B_VEGFA_HSPA5_NOTCH1_CREB3L1_DDIT3_HIF1A_MT3_TP53_MAPK7_CREB3L3_KLF2_CHD6_CEBPB_XBP1_ATF4
754814_GO:1901863_positive_regulation_of_muscle_tissue_development,58,57,1000,1.34925905543395e-09,0.043956043956044,MTOR_MYOG_WNT3A_BMP10_CYP26B1_ERBB4_GPC1_CTNNB1_FOXP1_SHOX2_PPARGC1A_RBPJ_FGF2_PRKAA1_CCNB1_HMGCR_MEF2C_ADRB2_FLOT1_DDX39B_MAPK14_GJA1_HEY2_DLL1_TBX20_WNT2_SHH_GATA4_NRG1_FGFR1_SOX17_NOTCH1_CDK1_ADRB1_FGFR2_ARNTL_MYOD1_ACTN3_USP2_CDON_NACA_MYF5_TBX5_FGF9_EFNB2_AKAP6_BMP4_GREM1_MKL2_MYOCD_RPS6KB1_TBX2_GATA6_BCL2_PIN1_TGFB1_TBX1
755365_GO:2001259_positive_regulation_of_cation_channel_activity,34,34,1000,2.87149542573494e-07,0.043956043956044,RNF207_NPPA_GSTM2_CTSS_S100A1_NOS1AP_ACTN2_CALM2_TMEM110_HTT_STIM2_PKD2_ANK2_TRDN_AKAP7_IKBKB_ASPH_GSTO1_STIM1_KCNJ11_GAL_KCNE3_FGF14_AKAP6_BMP4_CALM1_PLCG2_PIRT_HAP1_GALR2_CALM3_JPH2_NTSR1_KCNE2
83014_hsa00760_Nicotinate_and_nicotinamide_metabolism,27,24,1000,3.53408290302084e-06,0.043956043956044,NADK_NMNAT1_NT5C1A_NMNAT2_NT5C1B_AOX1_NMNAT3_CD38_NADK2_NNT_NUDT12_ENPP1_NT5C3A_NAMPT_NMRK1_NT5C2_NADSYN1_NNMT_PNP_QPRT_NT5M_NT5C3B_NT5C_NMRK2
83052_hsa04070_Phosphatidylinositol_signaling_system,93,87,1000,1.96878615051479e-12,0.043956043956044,CALML6_PIK3CD_INPP5B_PIK3R3_PI4KB_PIK3C2B_ITPKB_CALM2_INPP4A_INPP1_PIKFYVE_PLCD4_DGKD_ITPR1_MTMR14_PLCD1_IP6K2_IP6K1_PIK3CB_PIK3CA_DGKG_DGKQ_PI4K2B_CDS1_INPP4B_PIK3R1_PPIP5K2_IP6K3_SYNJ2_DGKB_PIK3CG_DGKI_MTMR7_IMPAD1_IMPA1_TMEM55A_PIP5K1B_IPPK_INPP5E_CALML3_PIP4K2A_IPMK_PTEN_PLCE1_PI4K2A_INPP5A_PIK3C2A_DGKZ_PLCB3_INPPL1_MTMR2_PLCZ1_ITPR2_DGKA_PIP4K2C_MTMR6_DGKH_TMEM55B_CALM1_ITPK1_PLCB2_ITPKA_PPIP5K1_PRKCB_CDIPT_PLCG2_INPP5K_PIK3R5_PIP4K2B_PLCD3_DGKE_MTMR4_PRKCA_IMPA2_PIK3C3_PIP5K1C_PIK3R2_ITPKC_CALM3_PRKCG_CDS2_PLCB4_PLCG1_SYNJ1_PI4KA_MTMR3_INPP5J
1269570_R-HSA-373080_Class_B/2_(Secretin_family_receptors),83,71,1000,5.26668689630201e-11,0.044955044955045,GNB1_WNT4_PTCH2_GNG12_GNG5_WNT2B_CD55_WNT3A_GNG4_SCTR_GCG_CALCRL_FZD7_FZD5_PTH2R_IHH_RAMP1_WNT7A_PTH1R_WNT5A_GNB4_WNT8A_GLP1R_ADCYAP1R1_RAMP3_FZD9_FZD1_GNG11_GNB2_WNT2_WNT16_SMO_SHH_FZD3_CRH_FZD6_PTCH1_GNG10_FZD8_WNT8B_SCT_ADM_PTH_CALCB_GNG3_WNT11_FZD4_GNB3_IAPP_PTHLH_DHH_FZD10_GNG2_GNB5_GNG13_GLP2R_RAMP2_FZD2_CRHR1_WNT9B_GNGT2_GCGR_ADCYAP1_GNG7_GIPR_GNG8_PTH2_GHRH_GNAS_WNT7B_ADM2
1269904_R-HSA-382556_ABC-family_proteins_mediated_transport,41,33,1000,1.60391840952288e-07,0.044955044955045,ABCD3_PEX19_RNASEL_ABCB10_ABCG8_ABCA12_ABCB6_ABCC5_ABCE1_ABCF1_ABCC10_PEX3_ABCB5_ABCB1_CFTR_ABCB8_ABCA2_ABCC2_ABCC8_APOA1_ABCG4_ABCC9_ABCD2_ABCB9_ABCC4_EIF2S1_ABCA3_ABCC6_ABCC11_ABCC3_ABCA10_EIF2S2_ABCG1
1270079_R-HSA-1660516_Synthesis_of_PIPs_at_the_early_endosome_membrane,12,12,1000,9.08118855959916e-05,0.044955044955045,INPP4A_PIKFYVE_PIK3R4_PI4K2B_INPP4B_FIG4_PI4K2A_PIK3C2A_MTMR2_VAC14_MTMR4_PIK3C3
487843_GO:0001953_negative_regulation_of_cell-matrix_adhesion,27,27,1000,1.05266403551724e-06,0.044955044955045,RCC2_ADAM15_MYOC_ITGB1BP1_CLASP2_PHLDB2_BCL6_APOD_PIK3R1_RASA1_HOXA7_SEMA3E_SERPINE1_DMTN_ACER2_CDKN2A_PTEN_PLET1_ACVRL1_CORO1C_POSTN_MMP14_THBS1_NF1_BCAS3_SRC_NF2
487892_GO:0002002_regulation_of_angiotensin_levels_in_blood,12,11,1000,7.1174411676183e-05,0.044955044955045,ECE1_REN_AGT_CPA3_MME_ENPEP_NDST2_CTSG_ANPEP_ACE_CTSZ
488394_GO:0002521_leukocyte_differentiation,296,248,1000,1.35146380628492e-24,0.044955044955045,RPL22_PIK3CD_EPHA2_PLA2G2D_WNT4_KDM1A_ZNF683_LCK_TAL1_JUN_LEPR_VCAM1_CSF1_PTPN22_TSPAN2_NOTCH2_RORC_SEMA4A_NTRK1_CD1D_IFI16_FCER1G_RC3H1_ABL2_PTPRC_IL10_CR2_BATF3_PSEN2_LGALS8_RSAD2_ID2_ADAM17_ZFP36L2_MSH2_BCL11A_CD8A_ZAP70_IL18R1_MERTK_SP3_ITGA4_CASP8_FZD7_CD28_FZD5_NHEJ1_HDAC4_FARP2_JAGN1_PPARG_PLCL2_SATB1_EOMES_AZI2_TGFBR2_CMTM7_CTNNB1_TUSC2_VPRBP_MITF_FOXP1_POU1F1_CD86_GATA2_BCL6_TFRC_RBPJ_RHOH_TXK_KIT_LEF1_IL2_IL15_IL7R_PTGER4_IL31RA_PIK3R1_F2RL1_MEF2C_CAMK4_APC_IL4_TCF7_EGR1_CD74_ITK_IL12B_DOCK2_SOX4_UBD_TNF_HLA-DMA_BAK1_MAPK14_GLO1_TREM2_SRF_VEGFA_CD109_ATG5_OSTM1_THEMIS_L3MBTL3_MYB_CITED2_DLL1_FAM20C_CARD11_EIF2AK1_HDAC9_IL6_SNX10_GLI3_POLM_IKZF1_FZD9_CDK6_CALCR_LEP_BRAF_GIMAP1_SHH_PTK2B_PRKDC_LYN_CHD7_IL7_TPD52_CDH17_DCSTAMP_LY6D_RPS6_IFNE_IFNK_CCL19_ANXA1_SYK_TNFSF8_RC3H2_LRRC8A_ABL1_TSC1_FUT7_KLF6_GATA3_DCLRE1C_ITGB1_FZD8_SIRT1_PPP3CB_FAS_HHEX_BLNK_NKX2-3_CHUK_SH3PXD2A_RAG2_SPI1_BATF2_CLCF1_FADD_PDE2A_GAB2_ATM_CD3D_ITFG2_CD4_WNT1_PDE1B_STAT6_IFNG_FLT3_HMGB1_TNFSF11_GPR183_LIG4_GAS6_DHRS2_RIPK3_HECTD1_BMP4_ZBTB1_ZFP36L1_PSEN1_BATF_TSHR_BCL11B_JAG2_DLL4_TYRO3_B2M_ONECUT1_RORA_LRRK1_DNAJA3_SPN_ITGAM_MT1G_CBFB_NFATC3_PLCG2_CBFA2T3_PAFAH1B1_MINK1_TP53_NCOR1_LGALS9_FOXN1_MED1_CSF3_CCR7_STAT5A_HDAC5_TBX21_JMJD6_PTPN2_MALT1_TNFRSF11A_BCL2_VAV1_ACP5_LYL1_JAK3_CEBPG_TGFB1_POU2F2_RELB_BAX_RRAS_LILRB1_IL11_PAX1_SCAND1_SRC_MAFB_ADA_MMP9_OCSTAMP_PREX1_PKNOX1_AIRE_THOC5_PATZ1_MYH9_LGALS1_EP300_NFAM1
489789_GO:0004435_phosphatidylinositol_phospholipase_C_activity,27,25,1000,1.4644147358023e-06,0.044955044955045,PLCH2_CHRM3_PLCL1_PLCD4_PLCL2_PLCD1_CCR5_CASR_PLCH1_EDNRA_F2RL2_PLCE1_CCKBR_CHRM1_PLCB3_PLCZ1_BDKRB2_PLD4_CHRM5_PLCB2_PLCG2_CCL5_PLCD3_PLCB4_PLCG1
492043_GO:0007264_small_GTPase_mediated_signal_transduction,761,529,1000,6.27269432261735e-44,0.044955044955045,GNB1_ARHGEF16_PLEKHG5_PARK7_APITD1-CORT_RSG1_RCC2_CDC42_KDM1A_CNKSR1_WASF2_RAB42_PSMB2_INPP5B_RRAGC_CDC20_KIF2C_RAB3B_DHCR24_DAB1_JUN_DOCK7_ITGB3BP_JAK1_DIRAS3_SYDE2_PKN2_ARHGAP29_VAV3_PSMA5_RAP1A_RHOC_NRAS_NGF_HIST2H3D_PSMB4_RPS27_SHC1_ARHGEF11_SPTA1_VANGL2_ARHGAP30_NUF2_CENPL_RALGPS2_RGL1_KIF14_ARL8A_RABIF_RAB29_MAPKAPK2_NSL1_CENPF_H3F3A_RHOU_NUP133_ACTN2_AHCTF1_YWHAQ_ROCK2_RHOB_DNAJC27_RAB10_CENPA_PPP1CB_RASGRP3_CDC42EP3_SOS1_RHOQ_CALM2_SPTBN1_RPS27A_XPO1_ACTR2_ARHGAP25_DOK1_RANBP2_BUB1_ACTR3_RALB_CLASP1_RAB6C_ARHGEF4_ARHGAP15_RND3_ARL5A_FMNL2_PSMD14_SPC25_RAPGEF4_CHN1_NCKAP1_SGOL2_ALS2_ABI2_ERBB4_ARPC2_DOCK10_IRS1_PSMD1_NGEF_ARL4C_AGAP1_RAB17_FARP2_IL5RA_ARL8B_SRGAP3_SEC13_RAF1_SGOL1_NKIRAS1_CLASP2_CTNNB1_NCKIPSD_RHOA_DOCK3_NISCH_ARF4_PSMD6_ARL13B_ARL6_ARHGAP31_RABL3_KALRN_ROPN1B_RAB43_PIK3R4_RAB6B_NCK1_MRAS_RASA2_AGTR1_SIAH2_RAP2B_ARL14_PLD1_ECT2_PSMD2_BCL6_TNK2_PAK2_FGFR3_RAB28_ARAP2_KLB_RHOH_RASL11B_KIT_ARL9_CENPC_BTC_G3BP2_PAQR3_FGF5_RASGEF1B_ARHGAP24_FAM13A_RAP1GDS1_LAMTOR3_CENPE_EGF_CAMK2D_MAD2L1_CCNA2_FGF2_RAB33B_ARHGAP10_RAPGEF2_CENPU_TRIO_FGF10_ARL15_RAB3C_DEPDC1B_KIF2A_TRIM23_CENPH_IQGAP2_RASGRF2_RASA1_RHOBTB3_IL5_CTNNA1_HBEGF_ARAP3_ARHGAP26_CAMK2A_G3BP1_CYFIP2_DOCK2_FGF18_ARL10_DOK3_RASGEF1C_RREB1_HIST1H4H_HIST1H4I_HIST1H3J_AIF1_SYNGAP1_MAPK13_FGD2_FRS3_SRF_CENPQ_RAB23_HACE1_WASF1_FYN_GOPC_ARHGAP18_RAB32_NUP43_NOX3_TAGAP_PSMB1_PDGFA_GNA12_ACTB_RAC1_ARL4A_RAPGEF5_WIPF3_ELMO1_RALA_PSMA2_CAMK2B_EGFR_LIMK1_NCF1_YWHAG_KRIT1_COL1A2_ARPC1B_IFT22_RASA4_PSMC2_DOCK4_CFTR_WASL_ARF5_BRAF_RHEB_MFHAS1_FGF20_FGF17_RHOBTB2_DOCK5_NRG1_FGFR1_SDCBP_RAB2A_NCOA2_GEM_YWHAZ_ANGPT1_PTK2_RHPN1_ARHGAP39_DOCK8_JAK2_KDM4C_CDKN2A_TEK_RASEF_SHC3_DIRAS2_FGD3_CTNNAL1_DAB2IP_PSMB7_SCAI_RALGPS1_SH2D3C_SPTAN1_ABL1_RAPGEF1_RALGDS_VAV2_NOXA1_IL2RA_RSU1_ARL5B_ABI1_RAB18_ARHGAP12_ITGB1_RASGEF1A_ARHGAP22_ZWINT_RHOBTB1_CAMK2G_PLCE1_ARHGAP19_CHUK_FGF8_ARL3_ADRA2A_FGFR2_BUB3_DOCK1_KNDC1_EPS8L2_RHOG_ARFIP2_PTH_PSMA1_KIF18A_DEPDC7_CKAP5_NUP160_INCENP_CDC42EP2_RHOD_FGF3_CTTN_ARAP1_RAB6A_PAK1_RAB30_RAB38_RAB39A_ARHGAP20_USP28_ARHGEF12_ARHGAP32_FGF6_CDKN1B_GRIN2B_EPS8_RERGL_KRAS_FGD4_LRRK2_RAPGEF3_RHEBL1_RACGAP1_NCKAP1L_MYL6_AGAP2_SRGAP1_NUP107_FRS2_RAB21_PPP1R12A_KITLG_DUSP6_ARL1_IGF1_PPP1CC_MAPKAPK5_RASAL1_PEBP1_RAB35_KNTC1_UBC_RAN_FGF9_RASL11A_STARD13_KBTBD7_RB1_ARL11_DIAPH3_RAP2A_DOCK9_IRS2_RAB20_ARHGEF7_MCF2L_RASA3_RAB2B_PSMB11_PSME2_PRKD1_ARHGAP5_PSMA6_SOS2_PSMC6_KTN1_PSMA3_DAAM1_RHOJ_RAB15_SYNJ2BP_CALM1_EVL_KLC1_CYFIP1_ARHGAP11B_ARHGAP11A_RASGRP1_CHP1_SPTBN5_FGF7_USP8_RAB27A_RAB8B_RASL12_ZWILCH_MYO9A_NRG4_RASGRF1_AKAP13_PRC1_LRRK1_RHOT2_PDPK1_DNAJA3_GRIN2A_MYH11_PLK1_ARHGAP17_LAT_MAPK3_RRAD_PSMB10_CDH1_PSMD7_CENPN_CDH13_CYBA_YWHAE_PAFAH1B1_TAX1BP3_PLD2_MIS12_TP53_NTN1_ARHGAP44_UBB_RASD1_GRAP_KSR1_RAB34_TAOK1_NF1_PSMD11_RASL10B_ARL5C_WIPF2_RAB5C_ARL4D_RUNDC3A_FMNL1_ARL17B_KPNB1_KIF2B_SKA2_PECAM1_GNA13_PSMD12_CDC42EP4_H3F3B_BIRC5_RAC3_RAB40B_NDC80_MYL12B_ARHGAP28_RAB12_RAB31_SEH1L_ROCK1_PSMA8_PIK3C3_RIT2_SKA1_RAB27B_DIRAS1_MAP2K2_VAV1_ARHGEF18_RAB11B_DNMT1_RGL3_WDR83_PKN1_RASAL3_RAB8A_MYO9B_UBA52_GMIP_RHPN2_ARHGAP33_RASGRP4_PLEKHG2_RAB4B_B9D2_ARHGEF1_ARHGAP35_GRIN2D_LIN7B_RRAS_MYH14_KLK2_CDC42EP5_EPS8L1_ZNF304_TRIM28_PSMF1_PTPRA_PAK7_RALGAPA2_REM1_MAPRE1_DSN1_SRC_ARHGAP40_YWHAB_RAB22A_PSMA7_RGS19_TIAM1_ITSN1_CRKL_MAPK1_RGL4_NF2_YWHAH_RASD2_CDC42EP1_PDGFB_RANGAP1_CENPM_ARHGAP8_CELSR1_RABL2B
494930_GO:0010866_regulation_of_triglyceride_biosynthetic_process,16,16,1000,2.6022966725488e-05,0.044955044955045,GPLD1_GPAM_TCF7L2_NR1H3_DGAT2_THRSP_APOC3_SCARB1_CNEP1R1_CTDNEP1_SREBF1_PLIN5_C3_LDLR_NR1H2_FITM2
499317_GO:0022038_corpus_callosum_development,13,13,1000,0.000110182253863289,0.044955044955045,EPHB2_SZT2_ZEB2_ULK4_RYK_EPHB3_PRDM8_CDK5_LPAR1_TSKU_RPGRIP1L_PAFAH1B1_PTPRS
501221_GO:0031983_vesicle_lumen,80,70,1000,4.50949013730515e-11,0.044955044955045,F5_FASLG_TGFB2_LEFTY2_ACTN2_APOB_POMC_GCG_FN1_GHRL_LTF_PROS1_TF_KNG1_ALB_PPBP_MMRN1_EGF_FGG_CLCN3_VEGFC_PCSK1_SCGB3A2_SPARC_F13A1_VEGFA_PLG_PDGFA_EGFR_HGF_SERPINE1_DEFA5_CLU_DBH_SRGN_INS_HBB_HPX_SAA1_SERPING1_VEGFB_BACE1_HYOU1_VWF_IGF1_HSP90B1_HSPH1_SPACA7_GAS6_ACTN1_TGFB3_SERPINA1_HSP90AA1_THBS1_SCG3_ANPEP_HBA1_ALDOA_HP_SERPINF2_GIP_CALR_ACTN4_TGFB1_APOE_SLC17A7_PCSK2_ADA_APP_PDGFB
502890_GO:0033673_negative_regulation_of_kinase_activity,243,219,1000,3.38877651633893e-22,0.044955044955045,DVL1_TP73_ERRFI1_CAMK2N1_CEP85_SFN_CDKN2C_PODN_GADD45A_PTPN22_ADAR_GBA_RGS4_RGS2_PTPRC_LAX1_PPP2R5A_DUSP10_AIDA_SMYD3_SH3BP5L_ITGB1BP1_TRIB2_MYCNOS_GCKR_SOCS5_SPRED2_LRRTM4_LRRTM1_DUSP2_C2orf40_RANBP2_IL1B_PPP1R1C_DUSP19_MSTN_CUL3_CAV3_SH3BP5_KAT2B_PRKAR2A_CISH_DUSP7_PRKCD_LRTM1_GSK3B_NCK1_WWTR1_CAMK2N2_ADIPOQ_LRRC15_PAK2_CRIPAK_ZFYVE28_UCHL1_LRRC66_PAQR3_SPRY1_SFRP2_CASP3_HMGCR_APC_PPP2CA_H2AFY_TAF7_SPRY4_NPM1_DUSP1_DRD1_RGS14_GNB2L1_TRIM27_CDKN1A_IBTK_PKIB_TNFAIP3_LATS1_PARK2_FGFR1OP_PRKAR1B_IL6_YWHAG_PRKRIP1_PRKAR2B_CAV1_LRRC4_WEE2_EPHA1_PRKAG2_DUSP4_DUSP26_SFRP1_LYN_PKIA_FABP4_DEPTOR_TRIB1_CDKN2B_LRRC19_DNAJA1_GNAQ_GADD45G_ASPN_RGS3_DAB2IP_ABL1_LRRTM3_SIRT1_PTEN_HHEX_PDCD4_PRDX3_DUSP8_CDKN1C_ILK_PTPN5_HIPK3_LRRC4C_MAPK8IP1_PTPRJ_RTN4RL2_FLRT1_MEN1_GSTP1_LRP5_CHORDC1_THY1_SORL1_UBASH3B_WNK1_GPRC5A_TARBP2_PPP1R1A_IRAK3_DUSP6_DCN_SOCS2_CORO1C_TESC_TAOK3_LATS2_RB1_SPRY2_DNAJC3_IRS2_SNX6_MBIP_BMP4_GMFB_SOCS4_PSEN1_FLRT2_AKT1_SPRED1_CHP1_CSK_CIB1_NR2F2_IGF1R_PDPK1_DNAJA3_SOCS1_PLK1_MVP_PYDC1_DUS2_FBXO31_RTN4RL1_INCA1_GPS2_MYOCD_MAPK7_NF1_DUSP14_SRCIN1_PPP1R1B_DUSP3_HEXIM2_CDK5RAP3_CHAD_COX11_PPM1E_PRKCA_PRKAR1A_CD300A_PRPSAP1_SOCS3_GPS1_PTPN2_SERPINB3_SOCS6_GADD45B_MLLT1_CDKN2D_PKN1_ZNF675_CEBPA_GMFG_APOE_NUP62_LRRC4B_PPP2R1A_TRIB3_FLRT3_FOXA2_CDK5RAP1_PKIG_UBE2C_PTPN1_BMP7_ZGPAT_PCP4_ADARB1_RTN4R_PPM1F_NF2_DUSP18_PIK3IP1_FBXO7
